id,name,description,stock
1,100LQLEDT65MVN,EXT REFLECTOR LED100W100-277V6500K8500LM,9
2,10HLED762MV30N,EXTERIOR ACENTO LED 10W 100-240V 3000K,21
3,10YD101MVB,INTERIOR EMPOTRADOS S/L100-240/12VGX5.3,13
4,24PTLLEDR30MVB,"Lampara Plafon LED de sobreponer 24w, Luz suave calida, Interior",1
5,2PACK_MLED-2H,"""""Kit de 2 pzas Conector medio para unir mangueras entre si,""",2
6,2PACK_MLED-2H-1/25,kit de 2 pzas Fuente de poder para manguera de 2 Hilos.,2
7,2Pack-SM-22-N,2 PACK de Sensor movimiento 180 grados infrarrojo switch para pared,10
8,2Pack-SM-360-1S-N,2 PACK Sensor movimiento 360grados infrarrojo con sensor para sobreponer en techo,10
9,30HLED764MV30N,EXTERIOR ACENTO LED 30W 100-240V 3000K,6
10,3DG9LED30V300C,LAMPARA LED AMPOLLETA 3W127V3000KG9350LM,144
11,5PACK_MLED-2-5050SMD,kit de 5 pzas Accesorio de union en esquinas para manguera 5050SMD,2
12,5PACK_MLED-2H-2/25,kit de 5 pzas Conector en T para Manguera 2 hilos marca Tlapps,2
13,5PACK_MLED-2H-3/25,kit de 5 pzas Conector en X para Manguera 2 hilos marca Tlapps,2
14,5PACK_MLED-2H-8/25,kit de 5 pzas Accesorio para conectar la manguera.,2
15,5PACK_MLED-2-SMD,kit de 5 pzas Accesorio de union en esquinas para manguera 3528SMD,2
16,5PACK_MLED-3-5050SMD,kit de 5 pzas Accesorio de unión para mangueras 5050SMD,2
17,5PACK_MLED-3-SMD,kit de 5 pzas Accesorio de unión para mangueras 3528SMD,2
18,5PACK_MLED-4-SMD,kit de 5 pzas Accesorio de unión en L para mangueras 3528SMD,2
19,5PACK_MLED-60-2,kit de 5 pzas Accesorio para conectar tira  a Driver plug-in,2
20,5PACK_MLED-60-2-2835,kit de 5 pzas Accesorio para conectar tira a Driver plug-in,2
21,5PACK_MLED-60-7-KSILICON,Kit 5 pzas de Silicón con tapas finales,2
22,6YDLED430MV40B,INT EMP LED 6W100-240V4000K320LM,100
23,ALED-S56,luminario para alberca LED PAR-56,1070
24,ALED-S56/RGB,luminario para alberca LED PAR-56 RGB,1371
25,AMPL-12V-180W-MCR,Amplificador Monocromatico 12V 180W IP65,336
26,AQUA-12W-REFLEC,"""""REFLECTOR SUMERGIBLE RGB DE SOBREPONER A BASE DE ADHESIVO PARA ALBERCA, BOTE, MUELLE etc.""",41
